From Zone,To Zone,Distance (km),Approx. Price (Birr)
Akaky Kaliti,Western,395,197.5
Akaky Kaliti,South Eastern,66,33
Akaky Kaliti,Mekelle,804,402
Arada,Bole,688,344
Arada,Gulele,598,299
Arada,Kirkos,460,230
Arada,Kolfe Keranio,197,98.5
Arada,Lideta,890,445
Arada,Nifas Silk-Lafto,783,391.5
Arada,Yeka,501,250.5
Arada,Awsi Rasu (Zone 1),671,335.5
Arada,Kilbet Rasu (Zone 2),976,488
Arada,Gabi Rasu (Zone 3),555,277.5
Arada,Fantena Rasu (Zone 4),289,144.5
Arada,Hari Rasu (Zone 5),277,138.5
Arada,Agew Awi,544,272
Arada,East Gojjam,297,148.5
Arada,North Gondar,58,29
Arada,North Shewa,727,363.5
Arada,North Wollo,989,494.5
Arada,Oromia Special Zone,417,208.5
Arada,South Gondar,636,318
Arada,South Wollo,485,242.5
Arada,Wag Hemra,334,167
Arada,West Gojjam,826,413
Arada,Assosa,844,422
Arada,Kamashi,599,299.5
Arada,Metekel,375,187.5
Arada,Mao-Komo Special,932,466
Arada,Dire Dawa City Administration,583,291.5
Arada,Anywaa,931,465.5
Arada,Majang,242,121
Arada,Nuer,399,199.5
Arada,Itang Special,931,465.5
Arada,Harari Regional State,831,415.5
Arada,Arsi,658,329
Arada,Bale,80,40
Arada,Borena,833,416.5
Arada,Buno Bedele,910,455
Arada,East Bale,571,285.5
Arada,East Guji,361,180.5
Arada,East Hararghe,986,493
Arada,East Shewa,538,269
Arada,East Wellega,622,311
Arada,Horo Guduru Wellega,489,244.5
Arada,Illubabor,155,77.5
Arada,Jimma,577,288.5
Arada,Kellem Wellega,783,391.5
Arada,North Shewa,797,398.5
Arada,Southwest Shewa,119,59.5
Arada,West Arsi,54,27
Arada,West Guji,325,162.5
Arada,West Hararghe,553,276.5
Arada,West Shewa,955,477.5
Arada,West Wellega,811,405.5
Arada,Aleta Chuko,731,365.5
Arada,Aleta Wondo,755,377.5
Arada,Aroresa,910,455
Arada,Bensa,294,147
Arada,Bona,951,475.5
Arada,Bursa,220,110
Arada,Dale,131,65.5
Arada,Dara,129,64.5
Arada,Gorche,648,324
Arada,Hawassa Zuria,501,250.5
Arada,Loka Abaya,819,409.5
Arada,Malga,575,287.5
Arada,Shebedino,837,418.5
Arada,Wondo Genet,795,397.5
Arada,Wonsho,277,138.5
Arada,Gamo,779,389.5
Arada,Gedeo,948,474
Arada,Gofa,544,272
Arada,Hadiya,965,482.5
Arada,Halaba,733,366.5
Arada,Kembata Tembaro,79,39.5
Arada,Konso,73,36.5
Arada,Silte,310,155
Arada,South Omo,932,466
Arada,Wolayita,662,331
Arada,Afder,833,416.5
Arada,Dollo,684,342
Arada,Erer,960,480
Arada,Fafan,317,158.5
Arada,Jarar,481,240.5
Arada,Korahe,430,215
Arada,Liben,933,466.5
Arada,Nogob,651,325.5
Arada,Shabelle,878,439
Arada,Sitti,969,484.5
Arada,Central,463,231.5
Arada,Eastern,972,486
Arada,North Western,614,307
Arada,Southern,568,284
Arada,Western,80,40
Arada,South Eastern,303,151.5
Arada,Mekelle,707,353.5
Bole,Gulele,118,59
Bole,Kirkos,873,436.5
Bole,Kolfe Keranio,812,406
Bole,Lideta,548,274
Bole,Nifas Silk-Lafto,105,52.5
Bole,Yeka,708,354
Bole,Awsi Rasu (Zone 1),747,373.5
Bole,Kilbet Rasu (Zone 2),740,370
Bole,Gabi Rasu (Zone 3),931,465.5
Bole,Fantena Rasu (Zone 4),852,426
Bole,Hari Rasu (Zone 5),773,386.5
Bole,Agew Awi,871,435.5
Bole,East Gojjam,122,61
Bole,North Gondar,548,274
Bole,North Shewa,659,329.5
Bole,North Wollo,698,349
Bole,Oromia Special Zone,50,25
Bole,South Gondar,511,255.5
Bole,South Wollo,170,85
Bole,Wag Hemra,215,107.5
Bole,West Gojjam,620,310
Bole,Assosa,534,267
Bole,Kamashi,998,499
Bole,Metekel,725,362.5
Bole,Mao-Komo Special,177,88.5
Bole,Dire Dawa City Administration,313,156.5
Bole,Anywaa,444,222
Bole,Majang,368,184
Bole,Nuer,692,346
Bole,Itang Special,349,174.5
Bole,Harari Regional State,658,329
Bole,Arsi,539,269.5
Bole,Bale,148,74
Bole,Borena,466,233
Bole,Buno Bedele,485,242.5
Bole,East Bale,206,103
Bole,East Guji,224,112
Bole,East Hararghe,245,122.5
Bole,East Shewa,703,351.5
Bole,East Wellega,655,327.5
Bole,Horo Guduru Wellega,416,208
Bole,Illubabor,837,418.5
Bole,Jimma,892,446
Bole,Kellem Wellega,92,46
Bole,North Shewa,387,193.5
Bole,Southwest Shewa,445,222.5
Bole,West Arsi,373,186.5
Bole,West Guji,529,264.5
Bole,West Hararghe,200,100
Bole,West Shewa,394,197
Bole,West Wellega,103,51.5
Bole,Aleta Chuko,911,455.5
Bole,Aleta Wondo,915,457.5
Bole,Aroresa,684,342
Bole,Bensa,437,218.5
Bole,Bona,314,157
Bole,Bursa,978,489
Bole,Dale,776,388
Bole,Dara,748,374
Bole,Gorche,966,483
Bole,Hawassa Zuria,871,435.5
Bole,Loka Abaya,519,259.5
Bole,Malga,389,194.5
Bole,Shebedino,253,126.5
Bole,Wondo Genet,180,90
Bole,Wonsho,163,81.5
Bole,Gamo,899,449.5
Bole,Gedeo,543,271.5
Bole,Gofa,397,198.5
Bole,Hadiya,591,295.5
Bole,Halaba,135,67.5
Bole,Kembata Tembaro,823,411.5
Bole,Konso,176,88
Bole,Silte,366,183
Bole,South Omo,312,156
Bole,Wolayita,760,380
Bole,Afder,384,192
Bole,Dollo,421,210.5
Bole,Erer,91,45.5
Bole,Fafan,663,331.5
Bole,Jarar,476,238
Bole,Korahe,961,480.5
Bole,Liben,989,494.5
Bole,Nogob,960,480
Bole,Shabelle,55,27.5
Bole,Sitti,1000,500
Bole,Central,119,59.5
Bole,Eastern,696,348
Bole,North Western,812,406
Bole,Southern,867,433.5
Bole,Western,87,43.5
Bole,South Eastern,617,308.5
Bole,Mekelle,192,96
Gulele,Kirkos,700,350
Gulele,Kolfe Keranio,608,304
Gulele,Lideta,710,355
Gulele,Nifas Silk-Lafto,888,444
Gulele,Yeka,75,37.5
Gulele,Awsi Rasu (Zone 1),663,331.5
Gulele,Kilbet Rasu (Zone 2),534,267
Gulele,Gabi Rasu (Zone 3),98,49
Gulele,Fantena Rasu (Zone 4),896,448
Gulele,Hari Rasu (Zone 5),364,182
Gulele,Agew Awi,967,483.5
Gulele,East Gojjam,270,135
Gulele,North Gondar,382,191
Gulele,North Shewa,555,277.5
Gulele,North Wollo,750,375
Gulele,Oromia Special Zone,683,341.5
Gulele,South Gondar,716,358
Gulele,South Wollo,148,74
Gulele,Wag Hemra,840,420
Gulele,West Gojjam,193,96.5
Gulele,Assosa,296,148
Gulele,Kamashi,66,33
Gulele,Metekel,361,180.5
Gulele,Mao-Komo Special,946,473
Gulele,Dire Dawa City Administration,729,364.5
Gulele,Anywaa,171,85.5
Gulele,Majang,983,491.5
Gulele,Nuer,521,260.5
Gulele,Itang Special,116,58
Gulele,Harari Regional State,184,92
Gulele,Arsi,844,422
Gulele,Bale,650,325
Gulele,Borena,744,372
Gulele,Buno Bedele,377,188.5
Gulele,East Bale,132,66
Gulele,East Guji,81,40.5
Gulele,East Hararghe,294,147
Gulele,East Shewa,968,484
Gulele,East Wellega,281,140.5
Gulele,Horo Guduru Wellega,734,367
Gulele,Illubabor,496,248
Gulele,Jimma,214,107
Gulele,Kellem Wellega,840,420
Gulele,North Shewa,382,191
Gulele,Southwest Shewa,70,35
Gulele,West Arsi,67,33.5
Gulele,West Guji,433,216.5
Gulele,West Hararghe,632,316
Gulele,West Shewa,306,153
Gulele,West Wellega,588,294
Gulele,Aleta Chuko,363,181.5
Gulele,Aleta Wondo,490,245
Gulele,Aroresa,558,279
Gulele,Bensa,719,359.5
Gulele,Bona,389,194.5
Gulele,Bursa,224,112
Gulele,Dale,691,345.5
Gulele,Dara,840,420
Gulele,Gorche,951,475.5
Gulele,Hawassa Zuria,103,51.5
Gulele,Loka Abaya,491,245.5
Gulele,Malga,733,366.5
Gulele,Shebedino,338,169
Gulele,Wondo Genet,896,448
Gulele,Wonsho,515,257.5
Gulele,Gamo,159,79.5
Gulele,Gedeo,642,321
Gulele,Gofa,476,238
Gulele,Hadiya,118,59
Gulele,Halaba,822,411
Gulele,Kembata Tembaro,659,329.5
Gulele,Konso,59,29.5
Gulele,Silte,489,244.5
Gulele,South Omo,902,451
Gulele,Wolayita,319,159.5
Gulele,Afder,828,414
Gulele,Dollo,437,218.5
Gulele,Erer,790,395
Gulele,Fafan,190,95
Gulele,Jarar,368,184
Gulele,Korahe,787,393.5
Gulele,Liben,385,192.5
Gulele,Nogob,983,491.5
Gulele,Shabelle,393,196.5
Gulele,Sitti,444,222
Gulele,Central,571,285.5
Gulele,Eastern,70,35
Gulele,North Western,981,490.5
Gulele,Southern,432,216
Gulele,Western,546,273
Gulele,South Eastern,78,39
Gulele,Mekelle,509,254.5
Kirkos,Kolfe Keranio,766,383
Kirkos,Lideta,135,67.5
Kirkos,Nifas Silk-Lafto,115,57.5
Kirkos,Yeka,717,358.5
Kirkos,Awsi Rasu (Zone 1),168,84
Kirkos,Kilbet Rasu (Zone 2),558,279
Kirkos,Gabi Rasu (Zone 3),927,463.5
Kirkos,Fantena Rasu (Zone 4),309,154.5
Kirkos,Hari Rasu (Zone 5),480,240
Kirkos,Agew Awi,449,224.5
Kirkos,East Gojjam,323,161.5
Kirkos,North Gondar,847,423.5
Kirkos,North Shewa,329,164.5
Kirkos,North Wollo,650,325
Kirkos,Oromia Special Zone,541,270.5
Kirkos,South Gondar,896,448
Kirkos,South Wollo,483,241.5
Kirkos,Wag Hemra,767,383.5
Kirkos,West Gojjam,800,400
Kirkos,Assosa,748,374
Kirkos,Kamashi,745,372.5
Kirkos,Metekel,967,483.5
Kirkos,Mao-Komo Special,395,197.5
Kirkos,Dire Dawa City Administration,813,406.5
Kirkos,Anywaa,256,128
Kirkos,Majang,998,499
Kirkos,Nuer,239,119.5
Kirkos,Itang Special,229,114.5
Kirkos,Harari Regional State,205,102.5
Kirkos,Arsi,545,272.5
Kirkos,Bale,502,251
Kirkos,Borena,141,70.5
Kirkos,Buno Bedele,436,218
Kirkos,East Bale,294,147
Kirkos,East Guji,303,151.5
Kirkos,East Hararghe,70,35
Kirkos,East Shewa,266,133
Kirkos,East Wellega,52,26
Kirkos,Horo Guduru Wellega,181,90.5
Kirkos,Illubabor,714,357
Kirkos,Jimma,603,301.5
Kirkos,Kellem Wellega,113,56.5
Kirkos,North Shewa,574,287
Kirkos,Southwest Shewa,217,108.5
Kirkos,West Arsi,459,229.5
Kirkos,West Guji,908,454
Kirkos,West Hararghe,233,116.5
Kirkos,West Shewa,374,187
Kirkos,West Wellega,880,440
Kirkos,Aleta Chuko,163,81.5
Kirkos,Aleta Wondo,427,213.5
Kirkos,Aroresa,277,138.5
Kirkos,Bensa,465,232.5
Kirkos,Bona,108,54
Kirkos,Bursa,551,275.5
Kirkos,Dale,555,277.5
Kirkos,Dara,372,186
Kirkos,Gorche,125,62.5
Kirkos,Hawassa Zuria,202,101
Kirkos,Loka Abaya,656,328
Kirkos,Malga,894,447
Kirkos,Shebedino,521,260.5
Kirkos,Wondo Genet,278,139
Kirkos,Wonsho,138,69
Kirkos,Gamo,188,94
Kirkos,Gedeo,683,341.5
Kirkos,Gofa,465,232.5
Kirkos,Hadiya,465,232.5
Kirkos,Halaba,671,335.5
Kirkos,Kembata Tembaro,991,495.5
Kirkos,Konso,581,290.5
Kirkos,Silte,615,307.5
Kirkos,South Omo,400,200
Kirkos,Wolayita,723,361.5
Kirkos,Afder,315,157.5
Kirkos,Dollo,901,450.5
Kirkos,Erer,768,384
Kirkos,Fafan,822,411
Kirkos,Jarar,858,429
Kirkos,Korahe,395,197.5
Kirkos,Liben,725,362.5
Kirkos,Nogob,670,335
Kirkos,Shabelle,616,308
Kirkos,Sitti,681,340.5
Kirkos,Central,471,235.5
Kirkos,Eastern,690,345
Kirkos,North Western,924,462
Kirkos,Southern,360,180
Kirkos,Western,557,278.5
Kirkos,South Eastern,639,319.5
Kirkos,Mekelle,509,254.5
Kolfe Keranio,Lideta,532,266
Kolfe Keranio,Nifas Silk-Lafto,833,416.5
Kolfe Keranio,Yeka,507,253.5
Kolfe Keranio,Awsi Rasu (Zone 1),221,110.5
Kolfe Keranio,Kilbet Rasu (Zone 2),649,324.5
Kolfe Keranio,Gabi Rasu (Zone 3),236,118
Kolfe Keranio,Fantena Rasu (Zone 4),124,62
Kolfe Keranio,Hari Rasu (Zone 5),184,92
Kolfe Keranio,Agew Awi,143,71.5
Kolfe Keranio,East Gojjam,548,274
Kolfe Keranio,North Gondar,550,275
Kolfe Keranio,North Shewa,480,240
Kolfe Keranio,North Wollo,788,394
Kolfe Keranio,Oromia Special Zone,732,366
Kolfe Keranio,South Gondar,606,303
Kolfe Keranio,South Wollo,310,155
Kolfe Keranio,Wag Hemra,751,375.5
Kolfe Keranio,West Gojjam,313,156.5
Kolfe Keranio,Assosa,316,158
Kolfe Keranio,Kamashi,550,275
Kolfe Keranio,Metekel,528,264
Kolfe Keranio,Mao-Komo Special,596,298
Kolfe Keranio,Dire Dawa City Administration,886,443
Kolfe Keranio,Anywaa,146,73
Kolfe Keranio,Majang,953,476.5
Kolfe Keranio,Nuer,101,50.5
Kolfe Keranio,Itang Special,808,404
Kolfe Keranio,Harari Regional State,800,400
Kolfe Keranio,Arsi,573,286.5
Kolfe Keranio,Bale,783,391.5
Kolfe Keranio,Borena,438,219
Kolfe Keranio,Buno Bedele,143,71.5
Kolfe Keranio,East Bale,898,449
Kolfe Keranio,East Guji,255,127.5
Kolfe Keranio,East Hararghe,451,225.5
Kolfe Keranio,East Shewa,480,240
Kolfe Keranio,East Wellega,61,30.5
Kolfe Keranio,Horo Guduru Wellega,105,52.5
Kolfe Keranio,Illubabor,919,459.5
Kolfe Keranio,Jimma,321,160.5
Kolfe Keranio,Kellem Wellega,70,35
Kolfe Keranio,North Shewa,229,114.5
Kolfe Keranio,Southwest Shewa,873,436.5
Kolfe Keranio,West Arsi,441,220.5
Kolfe Keranio,West Guji,274,137
Kolfe Keranio,West Hararghe,573,286.5
Kolfe Keranio,West Shewa,242,121
Kolfe Keranio,West Wellega,786,393
Kolfe Keranio,Aleta Chuko,94,47
Kolfe Keranio,Aleta Wondo,733,366.5
Kolfe Keranio,Aroresa,468,234
Kolfe Keranio,Bensa,138,69
Kolfe Keranio,Bona,622,311
Kolfe Keranio,Bursa,527,263.5
Kolfe Keranio,Dale,443,221.5
Kolfe Keranio,Dara,348,174
Kolfe Keranio,Gorche,757,378.5
Kolfe Keranio,Hawassa Zuria,479,239.5
Kolfe Keranio,Loka Abaya,832,416
Kolfe Keranio,Malga,356,178
Kolfe Keranio,Shebedino,56,28
Kolfe Keranio,Wondo Genet,185,92.5
Kolfe Keranio,Wonsho,90,45
Kolfe Keranio,Gamo,471,235.5
Kolfe Keranio,Gedeo,544,272
Kolfe Keranio,Gofa,578,289
Kolfe Keranio,Hadiya,976,488
Kolfe Keranio,Halaba,706,353
Kolfe Keranio,Kembata Tembaro,280,140
Kolfe Keranio,Konso,685,342.5
Kolfe Keranio,Silte,582,291
Kolfe Keranio,South Omo,135,67.5
Kolfe Keranio,Wolayita,754,377
Kolfe Keranio,Afder,678,339
Kolfe Keranio,Dollo,382,191
Kolfe Keranio,Erer,125,62.5
Kolfe Keranio,Fafan,463,231.5
Kolfe Keranio,Jarar,87,43.5
Kolfe Keranio,Korahe,241,120.5
Kolfe Keranio,Liben,186,93
Kolfe Keranio,Nogob,970,485
Kolfe Keranio,Shabelle,639,319.5
Kolfe Keranio,Sitti,349,174.5
Kolfe Keranio,Central,545,272.5
Kolfe Keranio,Eastern,509,254.5
Kolfe Keranio,North Western,601,300.5
Kolfe Keranio,Southern,93,46.5
Kolfe Keranio,Western,656,328
Kolfe Keranio,South Eastern,963,481.5
Kolfe Keranio,Mekelle,701,350.5
Lideta,Nifas Silk-Lafto,313,156.5
Lideta,Yeka,336,168
Lideta,Awsi Rasu (Zone 1),625,312.5
Lideta,Kilbet Rasu (Zone 2),805,402.5
Lideta,Gabi Rasu (Zone 3),620,310
Lideta,Fantena Rasu (Zone 4),250,125
Lideta,Hari Rasu (Zone 5),80,40
Lideta,Agew Awi,618,309
Lideta,East Gojjam,488,244
Lideta,North Gondar,588,294
Lideta,North Shewa,601,300.5
Lideta,North Wollo,602,301
Lideta,Oromia Special Zone,348,174
Lideta,South Gondar,960,480
Lideta,South Wollo,166,83
Lideta,Wag Hemra,999,499.5
Lideta,West Gojjam,701,350.5
Lideta,Assosa,888,444
Lideta,Kamashi,433,216.5
Lideta,Metekel,850,425
Lideta,Mao-Komo Special,660,330
Lideta,Dire Dawa City Administration,449,224.5
Lideta,Anywaa,823,411.5
Lideta,Majang,746,373
Lideta,Nuer,207,103.5
Lideta,Itang Special,468,234
Lideta,Harari Regional State,877,438.5
Lideta,Arsi,118,59
Lideta,Bale,63,31.5
Lideta,Borena,65,32.5
Lideta,Buno Bedele,543,271.5
Lideta,East Bale,55,27.5
Lideta,East Guji,77,38.5
Lideta,East Hararghe,474,237
Lideta,East Shewa,234,117
Lideta,East Wellega,118,59
Lideta,Horo Guduru Wellega,436,218
Lideta,Illubabor,488,244
Lideta,Jimma,852,426
Lideta,Kellem Wellega,81,40.5
Lideta,North Shewa,365,182.5
Lideta,Southwest Shewa,687,343.5
Lideta,West Arsi,447,223.5
Lideta,West Guji,186,93
Lideta,West Hararghe,93,46.5
Lideta,West Shewa,616,308
Lideta,West Wellega,313,156.5
Lideta,Aleta Chuko,505,252.5
Lideta,Aleta Wondo,997,498.5
Lideta,Aroresa,417,208.5
Lideta,Bensa,611,305.5
Lideta,Bona,587,293.5
Lideta,Bursa,522,261
Lideta,Dale,446,223
Lideta,Dara,984,492
Lideta,Gorche,464,232
Lideta,Hawassa Zuria,566,283
Lideta,Loka Abaya,832,416
Lideta,Malga,637,318.5
Lideta,Shebedino,739,369.5
Lideta,Wondo Genet,109,54.5
Lideta,Wonsho,219,109.5
Lideta,Gamo,451,225.5
Lideta,Gedeo,63,31.5
Lideta,Gofa,623,311.5
Lideta,Hadiya,471,235.5
Lideta,Halaba,452,226
Lideta,Kembata Tembaro,203,101.5
Lideta,Konso,452,226
Lideta,Silte,961,480.5
Lideta,South Omo,78,39
Lideta,Wolayita,770,385
Lideta,Afder,656,328
Lideta,Dollo,846,423
Lideta,Erer,533,266.5
Lideta,Fafan,874,437
Lideta,Jarar,901,450.5
Lideta,Korahe,501,250.5
Lideta,Liben,346,173
Lideta,Nogob,549,274.5
Lideta,Shabelle,498,249
Lideta,Sitti,624,312
Lideta,Central,720,360
Lideta,Eastern,143,71.5
Lideta,North Western,514,257
Lideta,Southern,833,416.5
Lideta,Western,736,368
Lideta,South Eastern,531,265.5
Lideta,Mekelle,267,133.5
Nifas Silk-Lafto,Yeka,488,244
Nifas Silk-Lafto,Awsi Rasu (Zone 1),249,124.5
Nifas Silk-Lafto,Kilbet Rasu (Zone 2),375,187.5
Nifas Silk-Lafto,Gabi Rasu (Zone 3),695,347.5
Nifas Silk-Lafto,Fantena Rasu (Zone 4),389,194.5
Nifas Silk-Lafto,Hari Rasu (Zone 5),550,275
Nifas Silk-Lafto,Agew Awi,564,282
Nifas Silk-Lafto,East Gojjam,799,399.5
Nifas Silk-Lafto,North Gondar,78,39
Nifas Silk-Lafto,North Shewa,154,77
Nifas Silk-Lafto,North Wollo,744,372
Nifas Silk-Lafto,Oromia Special Zone,873,436.5
Nifas Silk-Lafto,South Gondar,770,385
Nifas Silk-Lafto,South Wollo,108,54
Nifas Silk-Lafto,Wag Hemra,124,62
Nifas Silk-Lafto,West Gojjam,732,366
Nifas Silk-Lafto,Assosa,835,417.5
Nifas Silk-Lafto,Kamashi,764,382
Nifas Silk-Lafto,Metekel,417,208.5
Nifas Silk-Lafto,Mao-Komo Special,392,196
